circuitId,circuitRef,name,location,country,lat,lng,alt
44,las_vegas,Las vegas street circuit,Nevada,Usa,36.1162,-115.174,0
45,jarama,Jarama,Madrid,Spain,40.6171,-3.58558,0
46,watkins_glen,Watkins glen,New york state,Usa,42.3369,-76.9272,0
47,anderstorp,Scandinavian raceway,Anderstorp,Sweden,57.2653,13.6042,0
48,mosport,Mosport international raceway,Ontario,Canada,44.0481,-78.6756,0
49,montjuic,Montjuìøc,Barcelona,Spain,41.3664,2.15167,0
50,nivelles,Nivelles-baulers,Brussels,Belgium,50.6211,4.32694,0
51,charade,Charade circuit,Clermont-ferrand,France,45.7472,3.03889,0
52,tremblant,Circuit mont-tremblant,Quebec,Canada,46.1877,-74.6099,0
53,essarts,Rouen-les-essarts,Rouen,France,49.3306,1.00458,0
54,lemans,Le mans,Le mans,France,47.95,0.224231,0
55,reims,Reims-gueux,Reims,France,49.2542,3.93083,0
56,george,Prince george circuit,Eastern cape province,South africa,-33.0486,27.8736,0
57,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,0
58,aintree,Aintree,Liverpool,Uk,53.4769,-2.94056,0
59,boavista,Circuito da boavista,Oporto,Portugal,41.1705,-8.67325,0
60,riverside,Riverside international raceway,California,Usa,33.937,-117.273,0
61,avus,Avus,Berlin,Germany,52.4806,13.2514,0
62,monsanto,Monsanto park circuit,Lisbon,Portugal,38.7197,-9.20306,0
63,sebring,Sebring international raceway,Florida,Usa,27.4547,-81.3483,0
64,ain-diab,Ain diab,Casablanca,Morocco,33.5786,-7.6875,0
65,pescara,Pescara circuit,Pescara,Italy,42.475,14.1508,0
66,bremgarten,Circuit bremgarten,Bern,Switzerland,46.9589,7.40194,0
67,pedralbes,Circuit de pedralbes,Barcelona,Spain,41.3903,2.11667,0
68,buddh,Buddh international circuit,Uttar pradesh,India,28.3487,77.5331,0
69,americas,Circuit of the americas,Austin,Usa,30.1328,-97.6411,0
70,red_bull_ring,Red bull ring,Spielburg,Austria,47.2197,14.7647,0
71,sochi,Sochi autodrom,Sochi,Russia,43.4057,39.9578,0
72,port_imperial,Port imperial street circuit,New jersey,Usa,40.7769,-74.0111,0
73,BAK,Baku city circuit,Baku,Azerbaijan,40.3725,49.8533,0
